FamilyID	Leocu<1>	Luden<2>	Ornil<3>	Thmac<4>	Mymur<5>	Gamor<6>	Ammel<7>	Asmec<8>	Asmes<9>	Trros<10>	Trtib<11>	Darer<12>	Sirhi<13>	Sigra<14>	Sians<15>	Ammex<16>	Plwal<17>	Prang<18>	Xetro<19>	Scvul<20>	Hegla<21>	Chlan<22>	Hosap<23>	Zoviv<24>	Tagut<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>
OG0015636	0.708412	0.5	0.5	0.5	0.5	0.5	0.13901	4.33291e-05	0.500029	0.532926	0.532926	0.546317	0.00926554	0.019767	0.513207	0.119711	0.581	0.589841	0.636218	0.5	0.5	0.5	0.5	0.631927	0.192849	N/A	0.589473	0.582059	0.107251	0.5	0.5	0.5	0.570431	0.525639	0.594293	0.540881	0.553842	0.540785	0.529541	0.505368	0.542774	0.533829	0.561863	0.511509	0.518815	0.166295	0.5	0.5	0.522359
OG0015661	0.298654	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.532926	0.0491083	0.546317	0.552141	0.0572571	0.538082	0.119711	0.0419856	0.132539	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.107251	0.5	0.5	0.5	0.570431	0.0382894	0.5	0.540881	0.553842	0.540785	0.000449325	0.515847	0.542774	0.533829	0.561863	0.511509	0.0281318	0.5	0.5	0.5	0.5
OG0015662	0.298654	0.0526602	0.140113	0.140113	0.151357	0.163583	0.5	0.5	0.5	0.0939904	0.0334526	0.586302	0.535726	0.513207	0.019767	0.5	0.5	0.589841	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.0382894	0.5	0.0208399	0.59915	0.57665	0.556491	0.0159746	0.542774	0.533829	0.561863	0.0172298	0.0281318	0.5	0.5	0.5	0.5
OG0015663	0.298654	0.5	0.5	0.5	0.5	0.0583706	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.00548375	0.000110418	0.0204973	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.017969	0.5	0.5	0.10431	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.542774	0.533829	0.0318217	0.522622	0.0281318	0.5	0.5	0.5	0.5
OG0015665	0.298654	0.600855	0.140113	0.140113	0.151357	0.611392	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.00548375	0.0166381	0.000167442	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.10431	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.542774	0.533829	0.0318217	0.522622	0.0281318	0.5	0.5	0.5	0.5
OG0015666	0.298654	0.5	0.5	0.5	0.5	0.611392	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.000819539	0.000288898	0.138882	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.017969	0.5	0.5	0.10431	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.542774	0.533829	0.00203355	0.533354	0.0281318	0.5	0.5	0.5	0.5
OG0015673	0.298654	0.600855	0.140113	0.140113	0.151357	0.163583	0.5	0.5	0.5	0.5	0.5	0.0689135	0.0274625	0.513207	0.019767	0.5	0.5	2.91827e-10	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.570431	0.0382894	0.5	0.540881	0.0799963	0.540785	0.529541	0.505368	0.542774	0.533829	0.561863	0.0172298	0.0281318	0.5	0.5	0.5	0.5
OG0015674	0.298654	0.600855	0.140113	0.140113	0.151357	0.163583	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.119711	9.29672e-12	0.132539	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.10431	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.542774	0.533829	0.561863	0.511509	0.0281318	0.5	0.5	0.5	0.5
OG0015675	0.298654	0.0526602	0.140113	0.140113	0.151357	0.163583	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.119711	1.29967e-09	0.589841	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.10431	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.542774	0.533829	0.561863	0.511509	0.0281318	0.5	0.5	0.5	0.5
OG0015678	0.298654	0.148446	4.9715e-06	0.595078	0.151357	0.163583	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.119711	0.000300328	0.589841	0.198922	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.589473	0.582059	0.572445	0.512004	0.502833	0.507917	0.10431	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.542774	0.533829	0.561863	0.511509	0.0281318	0.5	0.5	0.5	0.5
