FamilyID	Luden<1>	Ornil<2>	Thmac<3>	Mymur<4>	Gamor<5>	Ammel<6>	Asmec<7>	Asmes<8>	Trros<9>	Trtib<10>	Darer<11>	Sirhi<12>	Sigra<13>	Sians<14>	Miuni<15>	Geser<16>	Ammex<17>	Plwal<18>	Prang<19>	Bubuf<20>	Soara<21>	Ereur<22>	Cocri<23>	Orcun<24>	Ranor<25>	Nagal<26>	Jajac<27>	Hegla<28>	Chlan<29>	Elmax<30>	Chasi<31>	Ectel<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>
OG0000102	0	1	0	1	1	-3	0	1	-1	0	0	1	0	2	0	0	2	-2	2	-2	0	0	0	3	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	-1	5	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OG0000104	1	0	2	0	-1	-3	0	0	-2	1	1	0	2	0	0	0	2	-1	1	2	0	0	0	0	-1	0	0	0	1	0	-1	1	0	3	0	0	0	0	1	0	0	1	-1	5	3	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
OG0000105	-3	1	1	1	0	-3	0	0	-1	0	-1	1	1	0	0	2	-1	-3	2	0	-4	2	-3	-2	3	-2	1	0	0	1	-2	3	0	4	1	0	0	0	0	0	1	0	-2	4	5	0	0	0	0	0	-1	0	1	0	-2	0	0	1	1	0	0	0	0
OG0000107	-3	0	0	2	-1	9	1	-1	0	0	-2	0	3	-1	2	0	6	-5	1	0	2	0	-2	0	1	0	0	-1	0	1	1	0	0	2	0	0	0	0	2	1	-2	0	-2	2	4	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
OG0000111	-1	13	-2	-2	0	4	0	-1	3	-4	-1	2	-1	1	0	-1	1	3	5	1	-1	-1	0	1	1	0	-1	-1	0	1	0	0	0	2	0	0	0	0	1	0	-5	2	0	3	5	0	0	0	0	1	6	0	-2	0	-1	0	0	0	0	1	-1	0	0
OG0000113	-6	5	3	2	-8	-9	11	-5	22	-7	-7	5	-2	1	3	-4	-1	1	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	2	-1	2	3	2	1	9	0	0	1	0	1	6	0	-6	0	0	0	0	0	0	0	0	0	0
OG0000114	-5	-2	4	4	3	-2	-2	6	0	-5	-3	3	-1	2	-1	0	-1	7	2	8	0	0	-1	-1	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	6	-1	-3	1	7	0	0	0	-2	3	5	0	-5	0	0	0	0	0	0	0	0	0	0
OG0000115	1	-4	5	-1	2	0	-1	3	-1	0	-1	1	1	0	0	-2	-1	8	0	10	2	1	-2	-2	5	0	0	0	-2	1	0	-2	0	1	2	0	0	0	-1	0	1	0	-1	0	2	0	1	0	-4	2	3	0	0	0	0	0	0	0	1	0	-1	0	0
OG0000117	-1	13	6	-3	-3	-2	-2	6	-1	0	-3	0	2	0	0	2	2	-2	2	1	0	0	-1	0	4	0	-1	1	0	-1	0	0	0	2	1	0	0	3	0	0	4	0	-1	1	6	0	1	0	1	0	1	0	-1	0	-1	0	0	0	0	0	1	0	0
OG0000118	-3	0	0	0	2	0	0	0	0	0	-1	2	0	1	0	0	1	-3	0	1	-1	0	0	1	0	0	1	3	-1	0	1	0	0	4	0	0	0	0	1	0	1	1	-2	4	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OG0000119	1	1	1	1	-3	0	0	0	0	0	-2	0	0	1	2	0	0	-2	2	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	2	0	0	0	0	1	0	0	0	-1	2	6	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
OG0000122	1	7	1	-2	-2	1	-2	0	0	-1	-1	2	2	-1	0	-1	12	-3	1	6	0	1	-1	0	0	-2	0	-1	0	0	0	0	0	2	1	0	0	0	0	0	-2	0	0	1	5	0	1	1	0	2	4	0	-3	0	0	0	1	0	0	0	0	0	0
OG0000124	0	0	1	0	0	-1	-1	0	0	0	0	-1	0	1	0	-1	1	-2	0	1	1	0	0	0	0	1	0	0	0	0	-1	0	0	4	0	0	0	0	1	0	0	0	-1	2	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OG0000127	-7	-1	1	2	-1	2	-5	3	-3	13	-10	0	0	0	0	-2	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	1	0	4	-1	0	0	0	6	0	-1	2	4	0	5	0	0	0	0	0	0	0	-4	0	0	0	0	0	0	0	0	0	0
OG0000128	2	-1	4	-2	-1	0	1	0	-1	0	-1	0	1	0	0	0	1	-1	5	-2	0	0	0	0	0	1	0	1	0	0	-1	1	0	1	0	0	0	0	0	0	1	0	-2	0	2	0	1	0	1	0	3	0	1	0	-1	0	0	0	0	1	0	0	0
OG0000130	-4	7	0	-4	3	1	1	0	0	-1	2	1	0	0	3	-1	0	-1	6	2	1	0	0	0	4	0	0	0	0	-1	2	-1	0	0	0	0	0	0	0	0	1	0	-2	0	-1	-1	2	1	1	0	3	0	-3	0	1	0	0	0	0	0	-1	0	0
OG0000132	0	-2	6	1	-1	-3	0	0	-1	2	-2	4	0	-1	1	-1	1	5	-1	5	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	4	0	1	0	1	0	0	1	0	1	3	1	-6	0	0	0	0	0	0	0	0	0	0
OG0000133	-4	12	1	-2	0	-3	2	0	7	-4	-2	1	4	-5	0	0	0	0	8	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	2	0	7	1	0	0	2	0	0	0	-1	0	2	0	-2	0	0	0	0	0	0	0	0	0	0
OG0000134	-3	11	-3	0	1	-1	0	-1	-2	2	-1	-1	4	0	5	-1	-2	0	1	-1	-2	0	-1	-1	4	0	-1	-2	4	-1	1	0	0	0	1	0	0	0	0	-1	-1	2	0	1	2	3	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
