OG_ID,analysis_paml
OG0010577,paml_selected
OG0010590,paml_selected
OG0010594,paml_selected
OG0010599,paml_selected
OG0010606,paml_selected
OG0010607,paml_selected
OG0010628,paml_selected
OG0010673,paml_selected
OG0010675,paml_selected
OG0010693,paml_selected
OG0010724,paml_selected
OG0010725,paml_selected
OG0010728,paml_selected
OG0010745,paml_selected
OG0010754,paml_selected
OG0010761,paml_selected
OG0010780,paml_selected
OG0010783,paml_selected
OG0010788,paml_selected
OG0010790,paml_selected
OG0010800,paml_selected
OG0010802,paml_selected
OG0010817,paml_selected
OG0010838,paml_selected
OG0010843,paml_selected
OG0010844,paml_selected
OG0010849,paml_selected
OG0010865,paml_selected
OG0010889,paml_selected
OG0010922,paml_selected
OG0010982,paml_selected
OG0011018,paml_selected
OG0011032,paml_selected
OG0011037,paml_selected
OG0011045,paml_selected
OG0011053,paml_selected
OG0011058,paml_selected
OG0011069,paml_selected
OG0011077,paml_selected
OG0011093,paml_selected
OG0011103,paml_selected
OG0011113,paml_selected
OG0011116,paml_selected
OG0011172,paml_selected
OG0011175,paml_selected
OG0011207,paml_selected
OG0011214,paml_selected
OG0011243,paml_selected
OG0011247,paml_selected
OG0011249,paml_selected
OG0011261,paml_selected
OG0011264,paml_selected
OG0011270,paml_selected
OG0011274,paml_selected
OG0011287,paml_selected
OG0011339,paml_selected
OG0011347,paml_selected
OG0011360,paml_selected
OG0011372,paml_selected
OG0011377,paml_selected
OG0011380,paml_selected
OG0011397,paml_selected
OG0011424,paml_selected
OG0011435,paml_selected
OG0011447,paml_selected
OG0011463,paml_selected
OG0011466,paml_selected
OG0011472,paml_selected
OG0011479,paml_selected
OG0011519,paml_selected
OG0011523,paml_selected
OG0011528,paml_selected
OG0011555,paml_selected
OG0011561,paml_selected
OG0011590,paml_selected
OG0011638,paml_selected
OG0011660,paml_selected
OG0011661,paml_selected
OG0011662,paml_selected
OG0011667,paml_selected
OG0011680,paml_selected
OG0011681,paml_selected
OG0011684,paml_selected
OG0011686,paml_selected
OG0011690,paml_selected
OG0011695,paml_selected
OG0011697,paml_selected
OG0011702,paml_selected
OG0011706,paml_selected
OG0011708,paml_selected
OG0011710,paml_selected
OG0011748,paml_selected
OG0011754,paml_selected
OG0011805,paml_selected
OG0011806,paml_selected
OG0011853,paml_selected
OG0011875,paml_selected
OG0011888,paml_selected
OG0011919,paml_selected
OG0011925,paml_selected
OG0011933,paml_selected
OG0011934,paml_selected
OG0011947,paml_selected
OG0011954,paml_selected
OG0011994,paml_selected
OG0012008,paml_selected
OG0012094,paml_selected
OG0012105,paml_selected
OG0012110,paml_selected
OG0012118,paml_selected
OG0012121,paml_selected
OG0012126,paml_selected
OG0012145,paml_selected
OG0012151,paml_selected
OG0012169,paml_selected
OG0012193,paml_selected
OG0012259,paml_selected
OG0012273,paml_selected
OG0012283,paml_selected
OG0012286,paml_selected
OG0012295,paml_selected
OG0012298,paml_selected
OG0012424,paml_selected
OG0012443,paml_selected
OG0012635,paml_selected
OG0005107,paml_selected
OG0005119,paml_selected
OG0005181,paml_selected
OG0005186,paml_selected
OG0005209,paml_selected
OG0005267,paml_selected
OG0005340,paml_selected
OG0005386,paml_selected
OG0005531,paml_selected
OG0005557,paml_selected
OG0005559,paml_selected
OG0005572,paml_selected
OG0005579,paml_selected
OG0005604,paml_selected
OG0005608,paml_selected
OG0005621,paml_selected
OG0005628,paml_selected
OG0005664,paml_selected
OG0005665,paml_selected
OG0005686,paml_selected
OG0005692,paml_selected
OG0005711,paml_selected
OG0005729,paml_selected
OG0005744,paml_selected
OG0005761,paml_selected
OG0005770,paml_selected
OG0005772,paml_selected
OG0005783,paml_selected
OG0005830,paml_selected
OG0005841,paml_selected
OG0005861,paml_selected
OG0005891,paml_selected
OG0005901,paml_selected
OG0005927,paml_selected
OG0005935,paml_selected
OG0005936,paml_selected
OG0005944,paml_selected
OG0005945,paml_selected
OG0005951,paml_selected
OG0005956,paml_selected
OG0005961,paml_selected
OG0005963,paml_selected
OG0005965,paml_selected
OG0005970,paml_selected
OG0005979,paml_selected
OG0005992,paml_selected
OG0006060,paml_selected
OG0006073,paml_selected
OG0006087,paml_selected
OG0006090,paml_selected
OG0006097,paml_selected
OG0006108,paml_selected
OG0006120,paml_selected
OG0006122,paml_selected
OG0006127,paml_selected
OG0006145,paml_selected
OG0006147,paml_selected
OG0006190,paml_selected
OG0006193,paml_selected
OG0006224,paml_selected
OG0006233,paml_selected
OG0006238,paml_selected
OG0006245,paml_selected
OG0006246,paml_selected
OG0006269,paml_selected
OG0006282,paml_selected
OG0006286,paml_selected
OG0006307,paml_selected
OG0006348,paml_selected
OG0006368,paml_selected
OG0006377,paml_selected
OG0006382,paml_selected
OG0006410,paml_selected
OG0006445,paml_selected
OG0006456,paml_selected
OG0006475,paml_selected
OG0006477,paml_selected
OG0006484,paml_selected
OG0006501,paml_selected
OG0006505,paml_selected
OG0006511,paml_selected
OG0006514,paml_selected
OG0006521,paml_selected
OG0006531,paml_selected
OG0006542,paml_selected
OG0006548,paml_selected
OG0006556,paml_selected
OG0006559,paml_selected
OG0006574,paml_selected
OG0006602,paml_selected
OG0006613,paml_selected
OG0006615,paml_selected
OG0006617,paml_selected
OG0006621,paml_selected
OG0006643,paml_selected
OG0006646,paml_selected
OG0006688,paml_selected
OG0006690,paml_selected
OG0006694,paml_selected
OG0006735,paml_selected
OG0006762,paml_selected
OG0006783,paml_selected
OG0006804,paml_selected
OG0006816,paml_selected
OG0006826,paml_selected
OG0006832,paml_selected
OG0006845,paml_selected
OG0006858,paml_selected
OG0006876,paml_selected
OG0006896,paml_selected
OG0006897,paml_selected
OG0006915,paml_selected
OG0006918,paml_selected
OG0006919,paml_selected
OG0006920,paml_selected
OG0006921,paml_selected
OG0006940,paml_selected
OG0006978,paml_selected
OG0006983,paml_selected
OG0006989,paml_selected
OG0006993,paml_selected
OG0007009,paml_selected
OG0007017,paml_selected
OG0007036,paml_selected
OG0007051,paml_selected
OG0007066,paml_selected
OG0007075,paml_selected
OG0007076,paml_selected
OG0007082,paml_selected
OG0007095,paml_selected
OG0007180,paml_selected
OG0007197,paml_selected
OG0007198,paml_selected
OG0007209,paml_selected
OG0007217,paml_selected
OG0007219,paml_selected
OG0007221,paml_selected
OG0007226,paml_selected
OG0007227,paml_selected
OG0007239,paml_selected
OG0007241,paml_selected
OG0007257,paml_selected
