"FamilyID","Rhtyp","Cacar","Sasal","Darer","Acbae","Ercal","Prang","Modom","Cocri","Ororc","Botau","Ovari","Myluc","Scvul","Ranor","Hegla","Capor","Hosap","Chsab","Elmax","Ancor","Tagut","Chpic","Tecar","Lacha","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49"
"OG0000105","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000107","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000108","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","N/A","NO","NO","NO","NO","NO","NO","NO","EXP","EXP","NO","NO","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","NO","NO","NO"
"OG0000109","NO","EXP","EXP","NO","NO","NO","EXP","NO","NO","EXP","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000110","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","N/A","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","EXP"
"OG0000111","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","EXP","N/A","NO","EXP","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP"
"OG0000112","EXP","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","EXP","NO","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","EXP","N/A","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP"
"OG0000114","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","EXP","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","N/A","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","EXP","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000116","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000118","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO"
"OG0000119","NO","NO","NO","NO","NO","NO","EXP","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","EXP","NO","N/A","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO"
"OG0000120","NO","NO","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","EXP","EXP","NO","NO","EXP","NO","NO","N/A","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","EXP"
"OG0000122","NO","NO","EXP","NO","NO","EXP","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","EXP","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","NO"
