FamilyID	Leocu<1>	Luden<2>	Nebri<3>	Thmac<4>	Mymur<5>	Gamor<6>	Ammel<7>	Asmec<8>	Asmes<9>	Trros<10>	Trtib<11>	Darer<12>	Sirhi<13>	Sigra<14>	Sians<15>	Ammex<16>	Plwal<17>	Prang<18>	Xetro<19>	Hosap<20>	Zoviv<21>	Tagut<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>
OG0000140	0.694236	0.32921	0.169889	0.0895233	0.834938	0.572613	0.0181792	0.507818	0.507818	0.0158949	0.133348	0.805512	0.295644	0.656346	0.656346	0.894131	0.894131	0.112683	0.0145921	0.452203	0.765936	0.765936	N/A	0.802264	0.249875	0.789173	0.578417	0.520146	0.553695	0.785244	0.648357	0.309931	0.0469513	0.441938	6.0394e-05	0.191044	0.0391725	0.612914	0.591751	0.874237	0.672711	0.555469	0.562782
OG0000142	0.326919	0.844088	0.00067151	0.00171639	0.846307	0.133645	0.501733	0.0104465	7.79049e-08	0.222982	0.64551	0.324002	0.613295	0.585343	0.0483707	0.923648	0.0309732	0.650959	8.30644e-10	0.0289741	0.159162	0.0228708	N/A	0.204004	0.219913	0.0975253	0.586852	0.522578	0.559776	0.768336	0.634024	0.280463	0.69091	0.359545	0.690594	0.0945199	0.537276	0.585129	4.49854e-08	0.105395	0.75236	0.540624	0.546141
OG0000143	0.28253	0.324975	0.310523	0.041501	0.147382	0.023431	1.19464e-07	1.6903e-09	4.03304e-05	0.678987	0.000836653	0.116577	0.254261	0.627517	0.627517	0.424437	0.629259	0.112701	0.0248387	1.03724e-17	0.721801	0.721801	N/A	0.760248	0.747134	0.0250504	0.531857	0.507702	0.521237	7.38689e-06	0.00295241	0.440683	0.749791	0.00870403	0.0764599	0.726575	0.55845	0.585129	0.568411	0.846723	0.634782	0.540624	0.546141
OG0000144	0.132176	0.800745	0.468456	0.792327	0.025431	0.289935	0.466334	0.506096	0.506096	0.64551	0.64551	0.183989	0.013928	0.594383	0.143611	0.231732	0.0840659	0.928275	0.463763	0.265373	0.453433	8.07756e-05	N/A	0.783532	0.770852	0.75243	0.560702	0.515226	0.541131	0.748259	0.618675	0.248214	0.671907	0.709207	0.00207978	0.679461	0.541635	0.0083147	0.60267	0.010678	0.199391	0.562612	0.570745
OG0000145	0.896596	0.32921	0.313899	0.313899	0.33446	0.207042	0.836393	0.507818	0.507818	0.678987	0.678987	0.426787	0.689697	0.656346	0.656346	0.872302	0.273003	0.451973	0.194907	0.763059	0.74581	0.74581	N/A	0.238185	0.249875	0.789173	0.578417	0.520146	0.553695	0.243197	0.661749	0.835513	0.723365	0.417382	0.0563904	2.02094e-05	0.0391725	0.599414	0.58034	0.609266	0.634782	0.548141	0.554583
OG0000148	0.896596	0.081663	0.0133486	0.00469991	0.162065	0.54426	0.809449	0.00351272	0.506958	0.192756	0.626429	0.324002	0.624531	0.594383	0.594383	0.615978	0.483474	0.113949	0.000107121	0.265373	0.23966	0.0524289	N/A	0.802264	0.790207	0.772411	0.569704	0.517696	0.547481	0.768336	0.634024	0.280463	0.69091	0.0258605	0.690594	0.0211361	0.541635	0.0667905	0.00903289	0.252106	0.741836	0.562612	0.570745
OG0000155	0.887526	0.356634	0.340919	0.837335	0.846307	0.854919	0.824245	0.506958	0.506958	0.277	0.119412	0.404609	0.664399	0.195546	0.0148204	0.424437	0.872302	0.880924	0.355118	0.739172	0.721801	0.721801	N/A	0.204004	0.0955032	0.249304	0.586852	0.522578	0.559776	0.785244	0.648357	0.823299	0.707987	0.746982	0.046765	0.00336632	0.55845	0.585129	0.568411	0.846723	0.634782	0.540624	0.546141
OG0000156	0.170368	0.548264	9.49593e-13	0.0185858	0.00398738	4.32067e-06	0.00870004	0.506096	0.00307366	0.0906936	9.18167e-08	0.708031	0.207494	0.627517	0.077903	0.687814	0.0543521	0.0683377	0.248745	0.264773	1.03177e-16	0.000353148	N/A	0.693593	0.0024055	0.0780273	0.578417	0.520146	0.553695	0.748259	0.618675	0.248214	0.671907	0.709207	0.112121	0.0012775	2.56516e-05	0.553998	0.542888	0.00324005	0.672711	0.525	0.528498
OG0000159	0.28253	0.0157941	0.313899	0.000397535	0.820982	0.0208875	0.0181792	0.0130278	3.33709e-10	0.0127073	0.678987	0.767228	0.254261	0.635101	0.635101	0.201051	0.201051	0.344935	0.00633674	0.739172	0.721801	0.0228708	N/A	0.760248	0.0730227	0.772411	0.569704	0.517696	0.02538	0.21767	0.648357	0.0873126	0.147132	0.417382	0.0563904	0.0454282	0.0318717	0.585129	0.568411	0.35486	0.654649	0.540624	0.546141
OG0000160	0.875451	3.64187e-14	3.41598e-05	2.05934e-06	0.135158	2.22643e-06	3.26006e-05	8.10715e-06	8.26516e-11	0.000333301	0.64551	0.0774558	0.138142	0.100887	0.241574	0.424437	0.424437	0.30003	0.00633674	0.709889	0.240491	0.658105	N/A	0.167098	0.187697	0.75243	0.560702	0.515226	0.541131	0.748259	0.618675	0.248214	0.112381	0.359545	4.01074e-10	0.201958	0.574318	0.570009	0.030093	0.846723	0.634782	0.532913	0.0563633
OG0000162	0.66908	0.0157941	0.810536	0.810536	0.524032	0.0960196	0.824245	0.507818	0.507818	0.678987	0.678987	0.426787	0.130603	0.649506	0.649506	0.854563	0.221793	0.864784	0.396809	0.763059	0.74581	0.74581	N/A	0.783532	0.219913	0.772411	0.569704	0.517696	0.547481	0.21767	0.648357	0.309931	0.147132	0.417382	0.0563904	2.02094e-05	0.570437	0.599414	0.58034	0.248366	0.6129	0.548141	0.554583
OG0000163	0.101184	0.0438715	0.388051	0.855863	3.24448e-07	0.87107	0.531592	1.08022e-05	3.51753e-05	0.678987	0.0127073	0.754844	0.207494	0.611532	0.0109454	0.780156	0.780156	0.795574	0.663411	0.673679	0.658105	0.658105	N/A	0.00031268	0.249875	0.0201254	0.602927	0.527385	0.571556	0.785244	0.648357	0.823299	0.707987	0.746982	0.046765	0.692596	0.0245436	0.553998	0.542888	0.457822	0.56211	0.525	0.528498
