FamilyID,pvalue,cave.ratio,surface.ratio,DIFF,significant
OG0025746,0.064935065,0.5,0,0.5,no
OG0025749,0.064935065,0.5,0,0.5,no
OG0025758,0.064935065,0.5,0,0.5,no
OG0025993,0.064935065,0.5,0,0.5,no
OG0026038,0.064935065,0.5,0,0.5,no
OG0026057,0.064935065,0.5,0,0.5,no
OG0026075,0.064935065,0.5,0,0.5,no
OG0026126,0.064935065,0.5,0,0.5,no
OG0026130,0.064935065,0.5,0,0.5,no
OG0026144,0.064935065,0.5,0,0.5,no
OG0026294,0.064935065,0.5,0,0.5,no
OG0026316,0.064935065,0.5,0,0.5,no
OG0026405,0.064935065,0.5,0,0.5,no
OG0026433,0.064935065,0.5,0,0.5,no
OG0026435,0.064935065,0.5,0,0.5,no
OG0026462,0.064935065,0.5,0,0.5,no
OG0026490,0.064935065,0.5,0,0.5,no
OG0026528,0.064935065,0.5,0,0.5,no
OG0026537,0.064935065,0.5,0,0.5,no
OG0026631,0.064935065,0.5,0,0.5,no
OG0026662,0.064935065,0.5,0,0.5,no
OG0026674,0.064935065,0.5,0,0.5,no
OG0026686,0.064935065,0.5,0,0.5,no
OG0026721,0.064935065,0.5,0,0.5,no
OG0026725,0.064935065,0.5,0,0.5,no
OG0026726,0.064935065,0.5,0,0.5,no
OG0030382,0.064935065,0.5,0,0.5,no
OG0030514,0.064935065,0.5,0,0.5,no
OG0030543,0.064935065,0.5,0,0.5,no
OG0030634,0.064935065,0.5,0,0.5,no
OG0030660,0.064935065,0.5,0,0.5,no
OG0030665,0.064935065,0.5,0,0.5,no
OG0030666,0.064935065,0.5,0,0.5,no
OG0030690,0.064935065,0.5,0,0.5,no
OG0030701,0.064935065,0.5,0,0.5,no
OG0030711,0.064935065,0.5,0,0.5,no
OG0030735,0.064935065,0.5,0,0.5,no
OG0030741,0.064935065,0.5,0,0.5,no
OG0030766,0.064935065,0.5,0,0.5,no
OG0030784,0.064935065,0.5,0,0.5,no
OG0030789,0.064935065,0.5,0,0.5,no
OG0030800,0.064935065,0.5,0,0.5,no
OG0030818,0.064935065,0.5,0,0.5,no
OG0030831,0.064935065,0.5,0,0.5,no
OG0030838,0.064935065,0.5,0,0.5,no
OG0030850,0.064935065,0.5,0,0.5,no
OG0030851,0.064935065,0.5,0,0.5,no
OG0030853,0.064935065,0.5,0,0.5,no
OG0030865,0.064935065,0.5,0,0.5,no
OG0030873,0.064935065,0.5,0,0.5,no
OG0030874,0.064935065,0.5,0,0.5,no
OG0030880,0.064935065,0.5,0,0.5,no
OG0030881,0.064935065,0.5,0,0.5,no
OG0030882,0.064935065,0.5,0,0.5,no
OG0031182,0.064935065,0.5,0,0.5,no
