OG	count
OG0009454	2
OG0011534	2
OG0008633	2
OG0013335	2
OG0007113	2
OG0012368	2
OG0007721	2
OG0013066	2
OG0010734	2
OG0007946	2
OG0007705	2
OG0009273	2
OG0008663	2
OG0008860	2
OG0010352	2
OG0012275	2
OG0009495	2
OG0012449	2
OG0009071	2
OG0013603	2
OG0010103	2
OG0006645	2
OG0014106	2
OG0010295	2
OG0008569	2
OG0007881	2
OG0007352	2
OG0012217	2
OG0014439	2
OG0011940	2
OG0007155	2
OG0012952	2
OG0012652	2
OG0009449	2
OG0007327	2
OG0008655	2
OG0006893	2
OG0009379	2
OG0008644	2
OG0008304	2
OG0011085	2
OG0012196	2
OG0011577	2
OG0011172	2
OG0007139	2
OG0007410	2
OG0009904	2
OG0010738	2
OG0008519	2
OG0007476	2
OG0008282	2
OG0007121	2
OG0007722	2
OG0008153	2
OG0012466	2
OG0007748	2
OG0006682	2
OG0012638	2
OG0007642	2
OG0012649	2
OG0012379	2
OG0007792	2
OG0008810	2
OG0010032	2
OG0007247	2
OG0009494	2
OG0012997	2
OG0010853	2
OG0012209	2
OG0009242	2
OG0012470	2
OG0008842	2
OG0009329	2
OG0012479	2
OG0008937	2
OG0012719	2
OG0012492	2
OG0012712	2
OG0007208	2
OG0009041	2
OG0008879	2
OG0012412	2
OG0012448	2
OG0008493	2
OG0012343	2
OG0010440	2
OG0010555	2
OG0007314	2
OG0013049	2
OG0009972	2
OG0008907	2
OG0011801	2
OG0011722	2
OG0008586	2
OG0013058	2
OG0009726	2
OG0013116	2
OG0007239	2
OG0009376	2
OG0008828	2
OG0008091	2
OG0013080	2
OG0012259	2
OG0006264	2
OG0006703	2
OG0005341	2
OG0011240	2
OG0009519	2
OG0006468	2
OG0009412	2
OG0007162	2
OG0011317	2
OG0011766	2
OG0006876	2
OG0009170	2
OG0009315	2
OG0010772	2
OG0013712	2
OG0012287	2
OG0010694	2
OG0007771	2
OG0012692	2
OG0010760	2
OG0008906	2
OG0013737	2
OG0009388	2
OG0010161	2
OG0013004	2
OG0009118	2
OG0005229	2
OG0011676	2
OG0008110	2
OG0011214	2
OG0008158	2
OG0010645	2
OG0007492	2
OG0008144	2
OG0009703	2
OG0013379	2
OG0012939	2
OG0009913	2
OG0011206	2
OG0011794	2
OG0008352	2
OG0013715	2
OG0006986	2
OG0012942	2
OG0009084	2
OG0008046	2
OG0007956	2
OG0005477	2
OG0009873	2
OG0011914	2
OG0006336	2
OG0011063	2
OG0010350	2
OG0009103	2
OG0007315	2
OG0012695	2
OG0012720	2
OG0009528	2
OG0014195	2
OG0012454	2
OG0006842	2
OG0012211	2
OG0011087	2
OG0010302	2
OG0009923	2
OG0013204	2
OG0010010	2
OG0008369	2
OG0007095	2
OG0011336	2
OG0010507	2
OG0007656	2
OG0006891	2
OG0010035	2
OG0007559	2
OG0013509	2
OG0005911	2
OG0010178	1
OG0008893	1
OG0007142	1
OG0009347	1
OG0011506	1
OG0011695	1
OG0007777	1
OG0011669	1
OG0012213	1
OG0010549	1
OG0006995	1
OG0012134	1
OG0008051	1
OG0007284	1
OG0008998	1
OG0010944	1
OG0012709	1
OG0006560	1
OG0011128	1
OG0009016	1
OG0010624	1
OG0012186	1
OG0009036	1
OG0008135	1
OG0012234	1
OG0007674	1
OG0011001	1
OG0006174	1
OG0013020	1
OG0011161	1
OG0007556	1
OG0007168	1
OG0006242	1
OG0009530	1
OG0012956	1
OG0007872	1
OG0006882	1
OG0006314	1
OG0009445	1
OG0010774	1
OG0007102	1
OG0006515	1
OG0013168	1
OG0012523	1
OG0013506	1
OG0011401	1
OG0013008	1
OG0013180	1
OG0007737	1
OG0013365	1
OG0008877	1
OG0014131	1
OG0009901	1
OG0006575	1
OG0006431	1
OG0014117	1
OG0007259	1
OG0013174	1
OG0010902	1
OG0008475	1
OG0009355	1
OG0008344	1
OG0007073	1
OG0009175	1
OG0006932	1
OG0006463	1
OG0013042	1
OG0011288	1
OG0010308	1
OG0010693	1
OG0012324	1
OG0009249	1
OG0012274	1
OG0012582	1
OG0007534	1
OG0007906	1
OG0012315	1
OG0010442	1
OG0007435	1
OG0007268	1
OG0005932	1
OG0010030	1
OG0012289	1
OG0013747	1
OG0009908	1
OG0007966	1
OG0012457	1
OG0010714	1
OG0008066	1
OG0009974	1
OG0007350	1
OG0007527	1
OG0010120	1
OG0009927	1
OG0007968	1
OG0013232	1
OG0005139	1
OG0011571	1
OG0006407	1
OG0010371	1
OG0007291	1
OG0010287	1
OG0009789	1
OG0012095	1
OG0011800	1
OG0013136	1
OG0010464	1
OG0005960	1
OG0007501	1
OG0007412	1
OG0010162	1
OG0010560	1
OG0012727	1
OG0006519	1
OG0007183	1
OG0010278	1
OG0009537	1
OG0010065	1
OG0010454	1
OG0010232	1
OG0012803	1
OG0011803	1
OG0006334	1
OG0010567	1
OG0007866	1
OG0010831	1
OG0011554	1
OG0008034	1
OG0008642	1
OG0007090	1
OG0006765	1
OG0008941	1
OG0007615	1
OG0013028	1
OG0006450	1
