OG	analysis
OG0010163	cave_species
OG0010237	cave_species
OG0010268	cave_species
OG0010270	cave_species
OG0010302	cave_species
OG0010342	cave_species
OG0010350	cave_species
OG0010369	cave_species
OG0010509	cave_species
OG0010521	cave_species
OG0010555	cave_species
OG0010583	cave_species
OG0010645	cave_species
OG0010665	cave_species
OG0010813	cave_species
OG0010843	cave_species
OG0010885	cave_species
OG0010910	cave_species
OG0011075	cave_species
OG0011123	cave_species
OG0011167	cave_species
OG0011214	cave_species
OG0011240	cave_species
OG0011289	cave_species
OG0011298	cave_species
OG0011324	cave_species
OG0011367	cave_species
OG0011439	cave_species
OG0011522	cave_species
OG0011620	cave_species
OG0011701	cave_species
OG0011714	cave_species
OG0011769	cave_species
OG0011801	cave_species
OG0011805	cave_species
OG0011870	cave_species
OG0011898	cave_species
OG0011952	cave_species
OG0011995	cave_species
OG0012216	cave_species
OG0012250	cave_species
OG0012255	cave_species
OG0012339	cave_species
OG0012440	cave_species
OG0012495	cave_species
OG0012513	cave_species
OG0012550	cave_species
OG0012624	cave_species
OG0012712	cave_species
OG0012788	cave_species
OG0012860	cave_species
OG0012867	cave_species
OG0013058	cave_species
OG0013104	cave_species
OG0013417	cave_species
OG0013464	cave_species
OG0013544	cave_species
OG0013760	cave_species
OG0014160	cave_species
OG0006089	cave_species
OG0007922	cave_species
OG0008000	cave_species
OG0009726	cave_species
OG0009853	cave_species
OG0010261	cave_species
OG0010494	cave_species
OG0010805	cave_species
OG0011099	cave_species
OG0011362	cave_species
OG0011467	cave_species
OG0011556	cave_species
OG0011798	cave_species
OG0012275	cave_species
OG0012307	cave_species
OG0012475	cave_species
OG0012543	cave_species
OG0012603	cave_species
OG0012750	cave_species
OG0012758	cave_species
OG0012942	cave_species
OG0013069	cave_species
OG0013080	cave_species
OG0013166	cave_species
OG0013406	cave_species
OG0013544	cave_species
OG0013727	cave_species
OG0013833	cave_species
OG0014106	cave_species
OG0006742	cave_species
OG0009493	cave_species
OG0010112	cave_species
OG0010619	cave_species
OG0010805	cave_species
OG0012231	cave_species
OG0012758	cave_species
OG0013176	cave_species
OG0013496	cave_species
OG0013833	cave_species
OG0008000	cave_species
OG0010261	cave_species
OG0010494	cave_species
OG0010805	cave_species
OG0011362	cave_species
OG0012475	cave_species
OG0012603	cave_species
OG0012750	cave_species
OG0012758	cave_species
OG0013406	cave_species
OG0013833	cave_species
OG0006686	cave_species
OG0006763	cave_species
OG0006973	cave_species
OG0007056	cave_species
OG0007217	cave_species
OG0007319	cave_species
OG0008149	cave_species
OG0008393	cave_species
OG0008410	cave_species
OG0008464	cave_species
OG0008512	cave_species
OG0008564	cave_species
OG0008600	cave_species
OG0008761	cave_species
OG0008816	cave_species
OG0008935	cave_species
OG0009346	cave_species
OG0010132	cave_species
OG0010369	cave_species
OG0011167	cave_species
OG0011367	cave_species
OG0011701	cave_species
OG0011870	cave_species
OG0011898	cave_species
OG0012255	cave_species
OG0012495	cave_species
OG0012513	cave_species
OG0012550	cave_species
OG0012860	cave_species
OG0013464	cave_species
OG0014160	cave_species
OG0010805	cave_species
OG0011099	cave_species
OG0012758	cave_species
OG0013069	cave_species
OG0013544	cave_species
OG0013833	cave_species
OG0008201	cave_species
OG0011056	cave_species
OG0011136	cave_species
OG0011414	cave_species
OG0011474	cave_species
OG0012758	cave_species
OG0013544	cave_species
OG0005990	cave_species
OG0006973	cave_species
OG0007056	cave_species
OG0008102	cave_species
OG0008149	cave_species
OG0008584	cave_species
OG0009418	cave_species
OG0009817	cave_species
OG0010261	cave_species
OG0010494	cave_species
OG0010897	cave_species
OG0011345	cave_species
OG0011489	cave_species
OG0011545	cave_species
OG0011941	cave_species
OG0012159	cave_species
OG0012221	cave_species
OG0012475	cave_species
OG0013833	cave_species
OG0010805	cave_species
OG0012758	cave_species
OG0013833	cave_species
OG0010261	cave_species
OG0010494	cave_species
OG0012475	cave_species
OG0013833	cave_species
